volumetric_strain,stress_300K_GPa,stress_400K_GPa,stress_500K_GPa
-0.048500000,-0.120340504,-0.110306783,-0.100511434
-0.048000000,-0.118799626,-0.108869576,-0.099175277
-0.047500000,-0.117268324,-0.107442007,-0.097848773
-0.047000000,-0.115746493,-0.106023967,-0.096531817
-0.046500000,-0.114234029,-0.104615350,-0.095224299
-0.046000000,-0.112730826,-0.103216049,-0.093926113
-0.045500000,-0.111236780,-0.101825957,-0.092637151
-0.045000000,-0.109751786,-0.100444968,-0.091357305
-0.044500000,-0.108275738,-0.099072973,-0.090086469
-0.044000000,-0.106808533,-0.097709867,-0.088824533
-0.043500000,-0.105350065,-0.096355542,-0.087571392
-0.043000000,-0.103900230,-0.095009891,-0.086326937
-0.042500000,-0.102458922,-0.093672808,-0.085091061
-0.042000000,-0.101026036,-0.092344185,-0.083863656
-0.041500000,-0.099601469,-0.091023916,-0.082644615
-0.041000000,-0.098185114,-0.089711893,-0.081433830
-0.040500000,-0.096776867,-0.088408011,-0.080231195
-0.040000000,-0.095376623,-0.087112161,-0.079036600
-0.039500000,-0.093984278,-0.085824236,-0.077849939
-0.039000000,-0.092599726,-0.084544131,-0.076671104
-0.038500000,-0.091222863,-0.083271738,-0.075499988
-0.038000000,-0.089853583,-0.082006949,-0.074336482
-0.037500000,-0.088491782,-0.080749659,-0.073180481
-0.037000000,-0.087137355,-0.079499760,-0.072031875
-0.036500000,-0.085790196,-0.078257144,-0.070890558
-0.036000000,-0.084450203,-0.077021707,-0.069756422
-0.035500000,-0.083117268,-0.075793339,-0.068629360
-0.035000000,-0.081791288,-0.074571935,-0.067509263
-0.034500000,-0.080472157,-0.073357388,-0.066396025
-0.034000000,-0.079159771,-0.072149590,-0.065289538
-0.033500000,-0.077854025,-0.070948434,-0.064189694
-0.033000000,-0.076554814,-0.069753814,-0.063096386
-0.032500000,-0.075262033,-0.068565623,-0.062009506
-0.032000000,-0.073975577,-0.067383754,-0.060928947
-0.031500000,-0.072695342,-0.066208099,-0.059854601
-0.031000000,-0.071421222,-0.065038553,-0.058786361
-0.030500000,-0.070153113,-0.063875007,-0.057724120
-0.030000000,-0.068890909,-0.062717355,-0.056667769
-0.029500000,-0.067634506,-0.061565491,-0.055617201
-0.029000000,-0.066383800,-0.060419306,-0.054572308
-0.028500000,-0.065138684,-0.059278695,-0.053532984
-0.028000000,-0.063899055,-0.058143550,-0.052499121
-0.027500000,-0.062664807,-0.057013765,-0.051470610
-0.027000000,-0.061435835,-0.055889232,-0.050447345
-0.026500000,-0.060212035,-0.054769844,-0.049429218
-0.026000000,-0.058993302,-0.053655495,-0.048416122
-0.025500000,-0.057779531,-0.052546077,-0.047407948
-0.025000000,-0.056570617,-0.051441485,-0.046404590
-0.024500000,-0.055366455,-0.050341610,-0.045405939
-0.024000000,-0.054166940,-0.049246345,-0.044411889
-0.023500000,-0.052971968,-0.048155585,-0.043422332
-0.023000000,-0.051781433,-0.047069221,-0.042437161
-0.022500000,-0.050595231,-0.045987148,-0.041456267
-0.022000000,-0.049413257,-0.044909257,-0.040479543
-0.021500000,-0.048235406,-0.043835443,-0.039506882
-0.021000000,-0.047061573,-0.042765598,-0.038538176
-0.020500000,-0.045891653,-0.041699615,-0.037573318
-0.020000000,-0.044725541,-0.040637387,-0.036612200
-0.019500000,-0.043563133,-0.039578808,-0.035654715
-0.019000000,-0.042404323,-0.038523770,-0.034700754
-0.018500000,-0.041249008,-0.037472166,-0.033750212
-0.018000000,-0.040097081,-0.036423890,-0.032802979
-0.017500000,-0.038948438,-0.035378835,-0.031858949
-0.017000000,-0.037802974,-0.034336894,-0.030918014
-0.016500000,-0.036660584,-0.033297959,-0.029980066
-0.016000000,-0.035521164,-0.032261924,-0.029044998
-0.015500000,-0.034384608,-0.031228682,-0.028112703
-0.015000000,-0.033250812,-0.030198126,-0.027183073
-0.014500000,-0.032119670,-0.029170149,-0.026256000
-0.014000000,-0.030991079,-0.028144644,-0.025331376
-0.013500000,-0.029864932,-0.027121504,-0.024409095
-0.013000000,-0.028741126,-0.026100622,-0.023489049
-0.012500000,-0.027619555,-0.025081891,-0.022571130
-0.012000000,-0.026500114,-0.024065205,-0.021655231
-0.011500000,-0.025382699,-0.023050456,-0.020741244
-0.011000000,-0.024267205,-0.022037538,-0.019829062
-0.010500000,-0.023153526,-0.021026343,-0.018918577
-0.010000000,-0.022041558,-0.020016765,-0.018009681
-0.009500000,-0.020931197,-0.019008696,-0.017102268
-0.009000000,-0.019822336,-0.018002031,-0.016196229
-0.008500000,-0.018714872,-0.016996660,-0.015291457
-0.008000000,-0.017608700,-0.015992479,-0.014387845
-0.007500000,-0.016503713,-0.014989380,-0.013485284
-0.007000000,-0.015399809,-0.013987255,-0.012583669
-0.006500000,-0.014296882,-0.012985999,-0.011682890
-0.006000000,-0.013194826,-0.011985504,-0.010782840
-0.005500000,-0.012093538,-0.010985663,-0.009883413
-0.005000000,-0.010992911,-0.009986369,-0.008984499
-0.004500000,-0.009892842,-0.008987515,-0.008085993
-0.004000000,-0.008793226,-0.007988995,-0.007187786
-0.003500000,-0.007693957,-0.006990701,-0.006289770
-0.003000000,-0.006594931,-0.005992526,-0.005391839
-0.002500000,-0.005496043,-0.004994364,-0.004493885
-0.002000000,-0.004397188,-0.003996108,-0.003595799
-0.001500000,-0.003298261,-0.002997650,-0.002697476
-0.001000000,-0.002199157,-0.001998884,-0.001798806
-0.000500000,-0.001099772,-0.000999703,-0.000899684
0.000000000,0.000000000,0.000000000,0.000000000
0.000500000,0.001100263,0.001000332,0.000900352
0.001000000,0.002201123,0.002001401,0.001801480
0.001500000,0.003302683,0.003003312,0.002703492
0.002000000,0.004405049,0.004006173,0.003606494
0.002500000,0.005508327,0.005010091,0.004510596
0.003000000,0.006612619,0.006015173,0.005415903
0.003500000,0.007718033,0.007021526,0.006322524
0.004000000,0.008824672,0.008029256,0.007230566
0.004500000,0.009932641,0.009038471,0.008140136
0.005000000,0.011042045,0.010049277,0.009051343
0.005500000,0.012152990,0.011061782,0.009964293
0.006000000,0.013265579,0.012076092,0.010879095
0.006500000,0.014379918,0.013092314,0.011795856
0.007000000,0.015496112,0.014110556,0.012714682
0.007500000,0.016614265,0.015130923,0.013635683
0.008000000,0.017734483,0.016153524,0.014558965
0.008500000,0.018856870,0.017178465,0.015484636
0.009000000,0.019981531,0.018205853,0.016412803
0.009500000,0.021108571,0.019235795,0.017343574
0.010000000,0.022238095,0.020268398,0.018277056
0.010500000,0.023370208,0.021303769,0.019213358
0.011000000,0.024505014,0.022342014,0.020152586
0.011500000,0.025642619,0.023383241,0.021094848
0.012000000,0.026783127,0.024427557,0.022040251
0.012500000,0.027926644,0.025475068,0.022988904
0.013000000,0.029073273,0.026525882,0.023940913
0.013500000,0.030223121,0.027580105,0.024896386
0.014000000,0.031376291,0.028637845,0.025855431
0.014500000,0.032532889,0.029699207,0.026818156
0.015000000,0.033693019,0.030764300,0.027784666
0.015500000,0.034856788,0.031833231,0.028755072
0.016000000,0.036024298,0.032906105,0.029729478
0.016500000,0.037195655,0.033983030,0.030707995
0.017000000,0.038370965,0.035064114,0.031690728
0.017500000,0.039550331,0.036149462,0.032677785
0.018000000,0.040733860,0.037239182,0.033669274
0.018500000,0.041921655,0.038333381,0.034665303
0.019000000,0.043113821,0.039432166,0.035665978
0.019500000,0.044310464,0.040535643,0.036671408
0.020000000,0.045511688,0.041643920,0.037681700
0.020500000,0.046717599,0.042757103,0.038696962
0.021000000,0.047928300,0.043875300,0.039717300
0.021500000,0.049143897,0.044998617,0.040742823
0.022000000,0.050364495,0.046127162,0.041773638
0.022500000,0.051590199,0.047261041,0.042809853
0.023000000,0.052821113,0.048400361,0.043851575
0.023500000,0.054057342,0.049545229,0.044898911
0.024000000,0.055298992,0.050695753,0.045951970
0.024500000,0.056546167,0.051852038,0.047010858
0.025000000,0.057798972,0.053014192,0.048075684
0.025500000,0.059057512,0.054182322,0.049146554
0.026000000,0.060321891,0.055356536,0.050223577
0.026500000,0.061592215,0.056536938,0.051306859
0.027000000,0.062868588,0.057723638,0.052396509
0.027500000,0.064151116,0.058916741,0.053492634
0.028000000,0.065439903,0.060116355,0.054595341
0.028500000,0.066735054,0.061322586,0.055704738
0.029000000,0.068036674,0.062535542,0.056820933
0.029500000,0.069344868,0.063755329,0.057944032
0.030000000,0.070659740,0.064982054,0.059074144
0.030500000,0.071981396,0.066215825,0.060211376
0.031000000,0.073309941,0.067456748,0.061355836
0.031500000,0.074645478,0.068704930,0.062507630
0.032000000,0.075988114,0.069960478,0.063666868
0.032500000,0.077337953,0.071223499,0.064833655
0.033000000,0.078695100,0.072494100,0.066008100
0.033500000,0.080059660,0.073772388,0.067190310
0.034000000,0.081431737,0.075058470,0.068380393
0.034500000,0.082811437,0.076352452,0.069578456
0.035000000,0.084198864,0.077654442,0.070784607
0.035500000,0.085594123,0.078964547,0.071998954
0.036000000,0.086997319,0.080282873,0.073221603
0.036500000,0.088408558,0.081609528,0.074452662
0.037000000,0.089827943,0.082944618,0.075692240
0.037500000,0.091255580,0.084288251,0.076940442
0.038000000,0.092691574,0.085640533,0.078197378
0.038500000,0.094136029,0.087001571,0.079463154
0.039000000,0.095589051,0.088371472,0.080737878
0.039500000,0.097050743,0.089750344,0.082021658
